bytes;Tamaño en bytes;Recibido en bytes;tiempo tardado;bw 
5;41346;935;0.013160467147827148;0.06775485063135202 
5;41346;7100;0.013358116149902344;0.5068894124366389 
5;41346;5926;0.012568235397338867;0.44966328369534286 
5;41346;2920;0.012822866439819336;0.2171689939200119 
5;41346;7435;0.013725042343139648;0.5166154220299825
6;41346;378;0.011220693588256836;0.032127148715551494 
6;41346;1122;0.010670900344848633;0.10027481734700718 
6;41346;1080;0.010628223419189453;0.0969087890887882 
6;41346;1140;0.011111974716186523;0.09783938035059112 
6;41346;426;0.010645866394042969;0.038161784466541254 
7;41346;1281;0.009564876556396484;0.12772321651129168 
7;41346;1036;0.011317968368530273;0.08729540140296181 
7;41346;1288;0.009393692016601562;0.13076142131979696 
7;41346;1281;0.008830547332763672;0.13834440304552081 
7;41346;1260;0.009224176406860352;0.13026958567034558 
8;41346;1400;0.007761478424072266;0.17202187135221478 
8;41346;1416;0.00786590576171875;0.1716779825412221 
8;41346;1432;0.008180618286132812;0.16693868034506879 
8;41346;14160;0.032720327377319336;0.4127106726222138 
8;41346;1408;0.008313655853271484;0.16151419558359623 
9;41346;1539;0.00709986686706543;0.2067228583901407 
9;41346;1530;0.007223367691040039;0.20200019803940986 
9;41346;1548;0.007096290588378906;0.20803655422658246 
9;41346;1512;0.007045745849609375;0.2046561992420141 
9;41346;1557;0.007774829864501953;0.19098436062557497 
10;41346;1610;0.0061991214752197266;0.2476827814314834 
10;41346;1630;0.006287336349487305;0.24724128777824125 
10;41346;1680;0.006556987762451172;0.2443458657552178 
10;41346;1680;0.006446123123168945;0.24854828568258314 
10;41346;1620;0.006249666213989258;0.24720558501506887 
20;41346;2940;0.003408670425415039;0.8225501853535707 
20;41346;2920;0.0032231807708740234;0.8639692284932318 
20;41346;2880;0.0031676292419433594;0.8670781273521 
20;41346;2940;0.003402233123779297;0.8241065171688857 
20;41346;2920;0.0031976699829101562;0.8708619147032508 
30;41346;4200;0.0021851062774658203;1.8330605564648117 
30;41346;3960;0.0023598670959472656;1.600323297635886 
30;41346;4170;0.002181529998779297;1.8229508196721311 
30;41346;4200;0.0023279190063476562;1.7206063088897992 
30;41346;4170;0.0021483898162841797;1.8510709133281544 
40;41346;5440;0.001680612564086914;3.086962689743226 
40;41346;5440;0.001680135726928711;3.087838796651057 
