bytes;Tamaño en bytes;Recibido en bytes;tiempo tardado;bw 
1;41346;1821;0.060328006744384766;0.02878664527296727 
1;41346;1793;0.08279991149902344;0.020651447789730715 
1;41346;1803;0.060628652572631836;0.02836076210700171 
2;41346;3600;0.034033775329589844;0.1008770700815423 
2;41346;3444;0.030459880828857422;0.10782886394589772 
2;41346;3732;0.03019118309020996;0.1178858257456705 
2;41346;3588;0.03398418426513672;0.10068752630840466 
2;41346;3998;0.030920028686523438;0.12331133181173277 
3;41346;5514;0.020447492599487305;0.2571738395345312 
3;41346;5658;0.022674083709716797;0.23797606780088748 
3;41346;5253;0.028317928314208984;0.17690740397730143 
3;41346;5658;0.02268815040588379;0.23782852218871176 
3;41346;5199;0.02243638038635254;0.22098719515434886 
4;41346;5090;0.016489028930664062;0.2943898207056102 
4;41346;1712;0.015874624252319336;0.10284907558986528 
4;41346;6754;0.015535593032836914;0.41460382744279556 
4;41346;520;0.01540374755859375;0.032194155522535906 
4;41346;7652;0.01989889144897461;0.36672976923629913 
5;41346;750;0.01208639144897461;0.05917860101787194 
5;41346;6810;0.012940168380737305;0.5018885306310455 
5;41346;3891;0.012113571166992188;0.30632971185640057 
5;41346;775;0.012159109115600586;0.060785505598148985 
5;41346;6;0.012566089630126953;0.00045535612643721776 
6;41346;948;0.010043144226074219;0.09001994112619884 
6;41346;1110;0.011063814163208008;0.09567934489817907 
6;41346;1140;0.010451078414916992;0.10402646287213414 
6;41346;528;0.01074528694152832;0.046861479065433004 
6;41346;876;0.010426044464111328;0.08012805854104733 
7;41346;1295;0.009726524353027344;0.1269732326698696 
7;41346;1274;0.00914907455444336;0.13279824881430136 
7;41346;1309;0.00999903678894043;0.12484799351438995 
7;41346;1246;0.009536504745483398;0.12460311507787694 
7;41346;1260;0.009307861328125;0.1290983606557377 
8;41346;1418;0.008619308471679688;0.15689311794644833 
8;41346;1408;0.008341550827026367;0.16097407608540315 
8;41346;1408;0.008140087127685547;0.16495811610333314 
8;41346;1400;0.007986307144165039;0.16717915037167508 
