Tamaño;tiempo (ms);loss;win_size;Tamaño en bytes;tiempo tardado;bw 
8000;20;10;10;e;r;r 
8000;20;10;10;299226;0.04743599891662598;6.015771935203381 
8000;20;10;10;299226;0.0561223030090332;5.0846835518322475 
4000;20;5;15;299226;0.06020402908325195;4.739951052218887 
4000;20;5;15;299226;0.06194782257080078;4.606524316086026 
4000;20;5;15;299226;0.03668570518493652;7.778619752909905 
5000;20;5;15;299226;0.050046682357788086;5.701959401841733 
5000;20;5;15;299226;0.01785445213317871;15.982800753134724 
5000;20;5;15;299226;0.03214740753173828;8.876739149781958 
6000;20;5;15;299226;0.043393611907958984;6.5761788072920675 
6000;20;5;15;299226;0.04342341423034668;6.571665449593974 
6000;20;5;15;299226;0.037420034408569336;7.625972437257488 
7000;20;5;15;299226;0.036185264587402344;7.886197717629075 
7000;20;5;15;e;r;r 
7000;20;5;15;299226;0.020894765853881836;13.657207407660973 
8000;20;5;15;299226;0.032711029052734375;8.723790087463557 
8000;20;5;15;299226;0.0498349666595459;5.726183242992398 
8000;20;5;15;299226;0.03430986404418945;8.317262657568135 
4000;20;5;20;299226;0.03589653968811035;7.949628389822066 
4000;20;5;20;299226;0.06058788299560547;4.709921140860367 
4000;20;5;20;299226;0.02904677391052246;9.824297592566753 
5000;20;5;20;299226;0.0521390438079834;5.473137406430195 
5000;20;5;20;299226;0.019329547882080078;14.763105311197178 
5000;20;5;20;299226;0.036020755767822266;7.922214426602772 
6000;20;5;20;299226;0.04442548751831055;6.423433189863363 
6000;20;5;20;299226;0.03469419479370117;8.225126788438544 
6000;20;5;20;e;r;r 
7000;20;5;20;299226;0.05337882041931152;5.346018303876509 
7000;20;5;20;299226;0.059599876403808594;4.787999039923194 
7000;20;5;20;299226;0.04222464561462402;6.758236732297025 
8000;20;5;20;299226;0.04982399940490723;5.727443689975452 
8000;20;5;20;299226;0.02683115005493164;10.635554212799232 
8000;20;5;20;299226;0.09200000762939453;3.101783992785247 
4000;20;5;25;299226;0.020297765731811523;14.058894696658248 
4000;20;5;25;299226;0.03570246696472168;7.992841258923384 
4000;20;5;25;299226;0.03785824775695801;7.537700974248846 
5000;20;5;25;299226;0.04384136199951172;6.5090165539144245 
5000;20;5;25;299226;0.025681495666503906;11.111664005347395 
5000;20;5;25;299226;0.03391528129577637;8.414028723875404 
6000;20;5;25;299226;0.03683304786682129;7.7475030584701825 
6000;20;5;25;299226;0.039723873138427734;7.183694047318953 
6000;20;5;25;299226;0.03867173194885254;7.379140695803355 
7000;20;5;25;299226;0.04131269454956055;6.907420445757684 
7000;20;5;25;299226;0.03308534622192383;8.625091878648123 
7000;20;5;25;299226;0.03408980369567871;8.3709531902394 
8000;20;5;25;299226;0.040062665939331055;7.122944624631773 
8000;20;5;25;299226;0.03748035430908203;7.613699396961909 
8000;20;5;25;299226;0.04281187057495117;6.665538019446888 
